username,author_id,conversation_id,created_at,hashtags,mentions,like_count,quote_count,reply_count,retweet_count,retweet,reply,quote,reply_settings,source,text
UPR_Asselineau,200659061,1443966727927255046,2021-10-02T14:24:39.000Z,,"['annick_OL', 'Ludovic13326759', 'MLP_officiel', 'BFMTV']",6,0,3,3,False,False,True,everyone,Twitter for Android,"@annick_OL @Ludovic13326759 @MLP_officiel @BFMTV Vous gobez la propagande anti-Brexit ?
Si vous croyez que les pénuries au Royaume-Uni sont dues au Brexit comme l'affirment les médias, pouvez-vous nous expliquer à quoi sont dues les pénuries aux États-Unis ou en France, qui sont plus nombreuses  ?
https://t.co/HJk3B7xVWz"
UPR_Asselineau,200659061,1444300417089871875,2021-10-02T13:57:07.000Z,,['france_soir'],494,6,15,286,False,False,False,everyone,Twitter for Android,"⚠️LA FRICOSPHÈRE DE BIG PHARMA
Remarquable travail d'investigation de @france_soir + collectif  citoyen sur la «fricosphère» qui a corrompu les autorités sanitaires en🇫🇷.
🤬Il faut que la ""Commission contre le complotisme"" de Macron réponde point par point
https://t.co/i3NP3i8TbV"
jeanlassalle,102722347,1444401792348004356,2021-10-02T20:39:57.000Z,"['Manifs2octobre', 'PassSanitaire', 'jeanlassalle']",,83,2,3,19,False,False,False,everyone,Twitter for iPhone,12ème #Manifs2octobre contre le #PassSanitaire. Résistons! était présents dans plusieurs villes de France. Le gouvernement envisage de le prolonger au-delà du 15 nov. Je voterai contre cette loi liberticide et nous continuerons à nous mobiliser pour la combattre #jeanlassalle https://t.co/9kZo1ElupB
jeanlassalle,102722347,1444334770209570820,2021-10-02T16:13:38.000Z,['JeanLassalle2022'],['tendanceouest'],18,0,1,6,False,False,False,everyone,Twitter for iPhone,"Retrouvez l’article de @tendanceouest sur ma venue à St-Germain de Martigny. « L'homme, très convaincu par une certaine idée de la France, est très critique vis-à-vis de la désertification du territoire par l'administration » 
#JeanLassalle2022
https://t.co/cEMrxuDg8g"
jeanlassalle,102722347,1444327743886438400,2021-10-02T15:45:43.000Z,['jeanlassalle2022'],,65,0,0,8,False,False,False,everyone,Twitter for iPhone,"Merci aux nombreux concitoyens venus à ma rencontre hier à Saint-Germain de Martigny. 
Pour celles et ceux qui n’ont pu venir à ma rencontre je vous donne rendez-vous lors de ma prochaine venue, car comme dit si bien la chanson « J’irai revoir ma Normandie ! » #jeanlassalle2022 https://t.co/5WlBIH9aJy"
jeanlassalle,102722347,1444033983927492608,2021-10-01T20:18:25.000Z,,['monde'],111,2,5,11,False,False,True,everyone,Twitter for Android,"Disponible pour parler de mon dernier livre quand vous voulez, A moins que vous soyez cantonné à la rubrique fashion du @monde https://t.co/24mDpNXmLn"
jeanlassalle,102722347,1443916398087049218,2021-10-01T12:31:10.000Z,,['tendanceouest61'],0,0,0,15,True,False,False,everyone,Twitter for iPhone,"RT @tendanceouest61: Défenseur de la ruralité et d'une certaine idée de la France, le député des Pyrénées-Atlantiques et candidat à l'élect…"
jeanlassalle,102722347,1443904285826293768,2021-10-01T11:43:02.000Z,['jeanlassalle2022'],,111,3,2,19,False,False,False,everyone,Twitter for iPhone,"Visite de la menuiserie Mousset à Saint-Germain de Martigny, village de 85 hbts. Une entreprise familiale qui a su résister aux obstacles admi et financiers. Soutenons ces entreprises locales et familiales face à la concurrence déloyale chinoise et indienne
#jeanlassalle2022 https://t.co/hO3hsOmoMj"
jeanlassalle,102722347,1443823417489305607,2021-10-01T06:21:42.000Z,['JeanLassalle2022'],['ResistonsFrance'],90,1,5,20,False,False,False,everyone,Twitter for iPhone,"En route vers le département de l’Orne, la si belle Normandie ! 
Chères Ornaises, chers Ornais, j’ai hâte de venir à votre rencontre, pour des échanges que j’imagine déjà forts passionnants ! 
Programme du jour ci-joint
#JeanLassalle2022
@ResistonsFrance https://t.co/Mn0rhouPVy"
jeanlassalle,1363474701436207109,1443646840424050691,2021-09-30T18:40:03.000Z,"['BumblingProgrammingDad', 'pythoncode', 'twitterdev']",,4,0,3,0,False,False,False,everyone,Twitter Web App,"This is really sad.

I am posting this tweet to check if some Python code works.  

#BumblingProgrammingDad
#pythoncode 
#twitterdev"
